bin,bin_width_aa,ref_parent_count,ref_fraction,target_sample_count,proteome_candidates_in_bin,sampled_count_phase1,shortfall_vs_target_phase1,sampled_count_total,top_up_extra_vs_phase1,sample_fraction_total,delta_sample_minus_ref_fraction
10-14,5,46,0.09181636726546906,46,5,5,41,5,0,0.00998003992015968,-0.08183632734530938
15-19,5,51,0.10179640718562874,51,19,19,32,19,0,0.03792415169660679,-0.06387225548902195
20-24,5,38,0.07584830339321358,38,16,16,22,16,0,0.031936127744510975,-0.0439121756487026
25-29,5,44,0.08782435129740519,44,6,6,38,6,0,0.011976047904191617,-0.07584830339321358
30-34,5,32,0.06387225548902195,32,7,7,25,7,0,0.013972055888223553,-0.049900199600798396
35-39,5,38,0.07584830339321358,38,5,5,33,5,0,0.00998003992015968,-0.0658682634730539
40-44,5,40,0.07984031936127745,40,14,14,26,14,0,0.027944111776447105,-0.05189620758483034
45-49,5,26,0.05189620758483034,26,16,16,10,16,0,0.031936127744510975,-0.01996007984031936
50-54,5,30,0.059880239520958084,30,25,25,5,25,0,0.0499001996007984,-0.00998003992015968
55-59,5,22,0.043912175648702596,22,38,22,0,38,16,0.07584830339321358,0.03193612774451098
60-64,5,18,0.03592814371257485,18,41,18,0,41,23,0.08183632734530938,0.04590818363273453
65-69,5,23,0.04590818363273453,23,48,23,0,48,25,0.09580838323353294,0.04990019960079841
70-74,5,22,0.043912175648702596,22,60,22,0,57,35,0.11377245508982035,0.06986027944111775
75-79,5,23,0.04590818363273453,23,86,23,0,66,43,0.1317365269461078,0.08582834331337327
80-84,5,17,0.033932135728542916,17,74,17,0,44,27,0.08782435129740519,0.05389221556886228
85-89,5,10,0.01996007984031936,10,72,10,0,26,16,0.05189620758483034,0.031936127744510975
90-94,5,13,0.02594810379241517,13,92,13,0,47,34,0.09381237524950099,0.06786427145708582
95-99,5,6,0.011976047904191617,6,119,6,0,14,8,0.027944111776447105,0.015968063872255488
100-104,5,2,0.003992015968063872,2,42,2,0,7,5,0.013972055888223553,0.00998003992015968
