n_alleles_per_epitope,n_epitopes,n_sb_rows_in_bin,total_epitopes,total_sb_row_instances
1,3077,3077,16647,93547
2,2015,4030,16647,93547
3,2238,6714,16647,93547
4,1689,6756,16647,93547
5,1440,7200,16647,93547
6,1478,8868,16647,93547
7,844,5908,16647,93547
8,698,5584,16647,93547
9,558,5022,16647,93547
10,420,4200,16647,93547
11,405,4455,16647,93547
12,331,3972,16647,93547
13,287,3731,16647,93547
14,263,3682,16647,93547
15,216,3240,16647,93547
16,169,2704,16647,93547
17,150,2550,16647,93547
18,97,1746,16647,93547
19,76,1444,16647,93547
20,64,1280,16647,93547
21,53,1113,16647,93547
22,34,748,16647,93547
23,26,598,16647,93547
24,13,312,16647,93547
25,6,150,16647,93547
26,0,0,16647,93547
27,0,0,16647,93547
