n_alleles_per_epitope,n_epitopes,n_sb_rows_in_bin,total_epitopes,total_sb_row_instances
1,2928,2928,13665,63415
2,2033,4066,13665,63415
3,1945,5835,13665,63415
4,1530,6120,13665,63415
5,1269,6345,13665,63415
6,1186,7116,13665,63415
7,604,4228,13665,63415
8,485,3880,13665,63415
9,404,3636,13665,63415
10,282,2820,13665,63415
11,229,2519,13665,63415
12,191,2292,13665,63415
13,166,2158,13665,63415
14,126,1764,13665,63415
15,87,1305,13665,63415
16,68,1088,13665,63415
17,45,765,13665,63415
18,35,630,13665,63415
19,21,399,13665,63415
20,15,300,13665,63415
21,6,126,13665,63415
22,6,132,13665,63415
23,3,69,13665,63415
24,1,24,13665,63415
25,0,0,13665,63415
26,0,0,13665,63415
27,0,0,13665,63415
