n_alleles_per_epitope,n_epitopes,n_sb_rows_in_bin,total_epitopes,total_sb_row_instances
1,2801,2801,11261,39671
2,1960,3920,11261,39671
3,1981,5943,11261,39671
4,1404,5616,11261,39671
5,1119,5595,11261,39671
6,789,4734,11261,39671
7,374,2618,11261,39671
8,252,2016,11261,39671
9,168,1512,11261,39671
10,121,1210,11261,39671
11,94,1034,11261,39671
12,69,828,11261,39671
13,61,793,11261,39671
14,26,364,11261,39671
15,18,270,11261,39671
16,10,160,11261,39671
17,5,85,11261,39671
18,4,72,11261,39671
19,2,38,11261,39671
20,1,20,11261,39671
21,2,42,11261,39671
