dipeptide,count_lnc,count_proteome,log2_fold_change_lnc_over_proteome,fisher_p_two_sided,q_value_fdr_bh,category,peptide_fasta,peptide_set
AA,973,81149,0.2426421492477347,2.8006998280537166e-07,6.05556719579182e-07,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
AC,278,16335,0.7497100898216527,1.7556804505660157e-15,7.392338739225328e-15,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
AD,230,32443,-0.5131193390404066,1.3293111927663272e-08,3.242222421381286e-08,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
AE,499,54249,-0.13908178676534813,0.033202137821808905,0.0424308470566248,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
AF,275,31742,-0.2243200627422996,0.009706204041665903,0.013387867643677106,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
AG,885,56047,0.6398856599404398,1.1149117866974603e-34,1.8581863111624337e-33,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
AH,188,18006,0.046090113756059654,0.6548686073283401,0.6966687312003618,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
AI,237,31238,-0.4153542908600406,4.312439998112368e-06,8.253473680597833e-06,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
AK,233,37846,-0.7166939617126631,2.1127351224596718e-16,9.942282929221985e-16,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
AL,832,83034,-0.01621723813944836,0.7940939891255931,0.8315120304980033,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
AM,91,15720,-0.8007600796199937,7.759641050034791e-09,1.9278611304434264e-08,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
AN,153,22351,-0.5620896217503344,3.373851461086959e-07,7.255594539971953e-07,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
AP,748,50692,0.5422733772523507,3.7768831275866143e-22,2.436698791991364e-21,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
AQ,326,36931,-0.19772549209629917,0.013293589199650343,0.01766589926863833,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
AR,786,42404,0.8712727687425336,3.3683547379104694e-53,1.497046550182431e-51,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
AS,1006,66130,0.5860028335753326,1.2530064887434462e-33,1.9277022903745327e-32,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
AT,408,41942,-0.058033402074693555,0.4485892759779837,0.4916046860032698,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
AV,548,53702,0.01054574539186662,0.8458132818337877,0.8697308810630208,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
AW,188,9556,0.9600536562003438,2.8300504889668656e-16,1.3011726386054554e-15,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
AY,62,17408,-1.497820427936363,6.76379423756668e-23,4.585623211909614e-22,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CA,212,14830,0.49893897916156577,1.926895698366713e-06,3.853791396733426e-06,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CC,158,8708,0.8440300687525083,2.5778051199441236e-11,7.811530666497344e-11,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CD,133,11743,0.16502066855403713,0.19664048521612404,0.2299888715978059,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CE,156,15456,-0.0020076364244581793,1.0,1.0,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CF,157,9765,0.6696293865494891,7.823336689171281e-08,1.7881912432391502e-07,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CG,250,23124,0.09543180751936625,0.2928661868742522,0.33375064031253815,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CH,97,7822,0.2978158413803633,0.05461684532546525,0.06742820410551266,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CI,107,10590,0.0016093321636044982,1.0,1.0,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CK,141,13865,0.009345787095081931,0.9323428805799837,0.9489494967735203,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CL,466,25437,0.8549635676824614,3.418793973516406e-31,4.715577894505388e-30,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CM,37,4234,-0.1952576579159314,0.4414177038210625,0.4864106929157714,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CN,92,9664,-0.08319835386723834,0.6108881173587728,0.6533562752500244,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CP,269,16556,0.6829309257820897,7.940640986431921e-13,2.7147490551904e-12,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CQ,150,13053,0.1853701783475261,0.12574418847456362,0.15195672323210105,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CR,366,15283,1.2418816085596613,1.2380905011126479e-46,3.809509234192763e-45,enriched,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CS,392,23310,0.7317560800141144,2.84350982237538e-20,1.7233392862881092e-19,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CT,164,12714,0.351656231043339,0.0029746948734888593,0.004473225373667458,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CV,179,14894,0.24924752609460307,0.024347026495009753,0.03161951492858409,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CW,75,3463,1.1042893465888444,5.154403337091588e-09,1.3216418813055354e-08,enriched,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
CY,35,7066,-1.0131334321253584,2.972416961138306e-06,5.771683419686031e-06,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
DA,274,32063,-0.24408239113978084,0.004726087413418457,0.006899397683822565,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
DC,84,12175,-0.5469143968555815,0.0002332929850339959,0.0003808865061779525,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
DD,112,28702,-1.3712080243009404,1.1535311688616592e-32,1.7089350649802359e-31,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
DE,136,38128,-1.5019254484893168,2.0002468963797452e-48,7.273625077744529e-47,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
DF,177,23750,-0.4400954850494239,2.3524879677814933e-05,4.2197093592493154e-05,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
DG,194,36702,-0.936064804754521,7.629535644926667e-24,5.548753196310304e-23,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
DH,112,12725,-0.19775396518860602,0.15565450864933236,0.1858561297305461,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
DI,93,28570,-1.6314446383817656,8.892963748342029e-41,2.0924620584334186e-39,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
DK,131,27553,-1.0871294141448484,1.0299798303840242e-22,6.866532202560161e-22,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
DL,384,55549,-0.5507469518305887,2.2099939388030893e-15,9.113377067229234e-15,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
DM,53,11503,-1.1244187028551822,8.863213560590043e-11,2.569047408866679e-10,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
DN,59,18754,-1.6762318513578305,2.8624800675856443e-28,2.8624800675856445e-27,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
DP,250,32906,-0.4135186073380077,2.613221615689693e-06,5.123963952332732e-06,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
DQ,125,20421,-0.7223580987822287,1.4746485260997664e-09,3.9063537115225596e-09,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
DR,197,27298,-0.48692565073498606,6.450082841417233e-07,1.3437672586285901e-06,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
DS,391,47293,-0.29258623025098907,4.086544678995868e-05,7.200959786776859e-05,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
DT,192,27695,-0.5447497626024675,3.4247135611921544e-08,7.918412858247756e-08,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
DV,162,34544,-1.1079729361882027,6.993695788445844e-29,7.560752203725237e-28,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
DW,95,7095,0.4086397585883547,0.009008518940381035,0.012599327189344105,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
