analysis,transition,direction,cancer_type,n_limma_z_stratum,n_limma_z_with_peptide,pct_limma_z_stratum_with_peptide,overall_tr_canonical_pct,n_canonical_tr,n_canonical_tr_with_peptide,overall_tcga_matrix_lnc_pct,n_matrix_lnc_genes,n_matrix_lnc_with_peptide,peptide_gene_set,peptide_genes_tsv
stage,E_L,up,BLCA,51,2,3.9215686274509802,4.291044776119403,1608,69,1.999326825984517,14855,297,all_smprot_filtered,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_filtered.tsv
stage,E_L,up,BRCA,2,0,0.0,4.291044776119403,1608,69,1.999326825984517,14855,297,all_smprot_filtered,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_filtered.tsv
stage,E_L,up,COAD,23,4,17.391304347826086,4.291044776119403,1608,69,1.999326825984517,14855,297,all_smprot_filtered,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_filtered.tsv
stage,E_L,up,ESCA,0,0,,4.291044776119403,1608,69,1.999326825984517,14855,297,all_smprot_filtered,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_filtered.tsv
stage,E_L,up,HNSC,4,1,25.0,4.291044776119403,1608,69,1.999326825984517,14855,297,all_smprot_filtered,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_filtered.tsv
stage,E_L,up,KIRC,58,2,3.4482758620689653,4.291044776119403,1608,69,1.999326825984517,14855,297,all_smprot_filtered,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_filtered.tsv
stage,E_L,up,KIRP,63,9,14.285714285714286,4.291044776119403,1608,69,1.999326825984517,14855,297,all_smprot_filtered,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_filtered.tsv
stage,E_L,up,LIHC,8,3,37.5,4.291044776119403,1608,69,1.999326825984517,14855,297,all_smprot_filtered,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_filtered.tsv
stage,E_L,up,LUAD,22,1,4.545454545454546,4.291044776119403,1608,69,1.999326825984517,14855,297,all_smprot_filtered,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_filtered.tsv
stage,E_L,up,LUSC,1,0,0.0,4.291044776119403,1608,69,1.999326825984517,14855,297,all_smprot_filtered,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_filtered.tsv
