n_alleles_per_epitope,n_epitopes,n_sb_rows_in_bin,total_epitopes,total_sb_row_instances
1,72,72,152,5188
2,40,80,152,5188
3,25,75,152,5188
4,10,40,152,5188
5,3,15,152,5188
6,2,12,152,5188
7,0,0,152,5188
8,0,0,152,5188
9,0,0,152,5188
10,0,0,152,5188
11,0,0,152,5188
12,0,0,152,5188
13,0,0,152,5188
14,0,0,152,5188
15,0,0,152,5188
16,0,0,152,5188
17,0,0,152,5188
18,0,0,152,5188
19,0,0,152,5188
20,0,0,152,5188
21,0,0,152,5188
22,0,0,152,5188
23,0,0,152,5188
24,0,0,152,5188
25,0,0,152,5188
26,0,0,152,5188
27,0,0,152,5188
