n_alleles_per_epitope,n_epitopes,n_sb_rows_in_bin,total_epitopes,total_sb_row_instances
1,695,695,1280,4289
2,330,660,1280,4289
3,187,561,1280,4289
4,43,172,1280,4289
5,20,100,1280,4289
6,5,30,1280,4289
7,0,0,1280,4289
8,0,0,1280,4289
9,0,0,1280,4289
10,0,0,1280,4289
11,0,0,1280,4289
12,0,0,1280,4289
13,0,0,1280,4289
14,0,0,1280,4289
15,0,0,1280,4289
16,0,0,1280,4289
17,0,0,1280,4289
18,0,0,1280,4289
19,0,0,1280,4289
20,0,0,1280,4289
21,0,0,1280,4289
22,0,0,1280,4289
23,0,0,1280,4289
24,0,0,1280,4289
25,0,0,1280,4289
26,0,0,1280,4289
27,0,0,1280,4289
