n_alleles_per_epitope,n_epitopes,n_sb_rows_in_bin,total_epitopes,total_sb_row_instances
1,12,12,480,9617
2,15,30,480,9617
3,40,120,480,9617
4,28,112,480,9617
5,24,120,480,9617
6,34,204,480,9617
7,25,175,480,9617
8,30,240,480,9617
9,34,306,480,9617
10,42,420,480,9617
11,26,286,480,9617
12,17,204,480,9617
13,18,234,480,9617
14,14,196,480,9617
15,18,270,480,9617
16,14,224,480,9617
17,16,272,480,9617
18,15,270,480,9617
19,7,133,480,9617
20,12,240,480,9617
21,9,189,480,9617
22,8,176,480,9617
23,7,161,480,9617
24,1,24,480,9617
25,2,50,480,9617
26,3,78,480,9617
27,9,243,480,9617
