n_alleles_per_epitope,n_epitopes,n_sb_rows_in_bin,total_epitopes,total_sb_row_instances
1,4,4,70,11136
2,4,8,70,11136
3,7,21,70,11136
4,6,24,70,11136
5,5,25,70,11136
6,4,24,70,11136
7,3,21,70,11136
8,5,40,70,11136
9,6,54,70,11136
10,4,40,70,11136
11,5,55,70,11136
12,3,36,70,11136
13,0,0,70,11136
14,0,0,70,11136
15,1,15,70,11136
16,1,16,70,11136
17,1,17,70,11136
18,0,0,70,11136
19,1,19,70,11136
20,3,60,70,11136
21,2,42,70,11136
22,2,44,70,11136
23,0,0,70,11136
24,2,48,70,11136
25,0,0,70,11136
26,0,0,70,11136
27,1,27,70,11136
