n_alleles_per_epitope,n_epitopes,n_sb_rows_in_bin,total_epitopes,total_sb_row_instances
1,280,280,931,4842
2,214,428,931,4842
3,190,570,931,4842
4,126,504,931,4842
5,62,310,931,4842
6,26,156,931,4842
7,10,70,931,4842
8,11,88,931,4842
9,6,54,931,4842
10,2,20,931,4842
11,3,33,931,4842
12,0,0,931,4842
13,1,13,931,4842
14,0,0,931,4842
15,0,0,931,4842
16,0,0,931,4842
17,0,0,931,4842
18,0,0,931,4842
19,0,0,931,4842
20,0,0,931,4842
21,0,0,931,4842
22,0,0,931,4842
23,0,0,931,4842
24,0,0,931,4842
25,0,0,931,4842
26,0,0,931,4842
27,0,0,931,4842
