n_alleles_per_epitope,n_epitopes,n_sb_rows_in_bin,total_epitopes,total_sb_row_instances
1,2810,2810,10987,40011
2,1949,3898,10987,40011
3,1877,5631,10987,40011
4,1363,5452,10987,40011
5,1085,5425,10987,40011
6,767,4602,10987,40011
7,345,2415,10987,40011
8,248,1984,10987,40011
9,161,1449,10987,40011
10,111,1110,10987,40011
11,87,957,10987,40011
12,67,804,10987,40011
13,54,702,10987,40011
14,25,350,10987,40011
15,15,225,10987,40011
16,9,144,10987,40011
17,6,102,10987,40011
18,3,54,10987,40011
19,2,38,10987,40011
20,1,20,10987,40011
21,2,42,10987,40011
22,0,0,10987,40011
23,0,0,10987,40011
24,0,0,10987,40011
25,0,0,10987,40011
26,0,0,10987,40011
27,0,0,10987,40011
