n_alleles_per_epitope,n_epitopes,n_sb_rows_in_bin,total_epitopes,total_sb_row_instances
1,98,98,269,1133
2,73,146,269,1133
3,52,156,269,1133
4,28,112,269,1133
5,8,40,269,1133
6,6,36,269,1133
7,1,7,269,1133
8,3,24,269,1133
9,0,0,269,1133
10,0,0,269,1133
11,0,0,269,1133
12,0,0,269,1133
13,0,0,269,1133
14,0,0,269,1133
15,0,0,269,1133
16,0,0,269,1133
17,0,0,269,1133
18,0,0,269,1133
19,0,0,269,1133
20,0,0,269,1133
21,0,0,269,1133
22,0,0,269,1133
23,0,0,269,1133
24,0,0,269,1133
25,0,0,269,1133
26,0,0,269,1133
27,0,0,269,1133
