sb_criterion,ba_rank_pct_cutoff,ic50_nm_cutoff,require_el_rank,el_rank_uses_same_cutoff_as_ba_rank,n_unique_sb_9mers,n_positions_allele_cov_gt0,frac_positions_with_any_sb_allele,max_allele_diversity_per_position,mean_allele_diversity_per_position,max_distinct_epitopes_per_position
ba_rank,0.25,,False,True,36,77,0.9746835443037974,21,10.60759493670886,8
ba_rank,0.5,,False,True,39,77,0.9746835443037974,24,14.126582278481013,9
ba_rank,1.0,,False,True,47,77,0.9746835443037974,27,17.962025316455698,9
ba_rank,2.0,,False,True,53,77,0.9746835443037974,27,21.39240506329114,9
ic50_from_ba_score,,50.0,False,False,26,69,0.8734177215189873,15,6.822784810126582,8
ic50_from_ba_score,,150.0,False,False,33,72,0.9113924050632911,19,9.91139240506329,8
ic50_from_ba_score,,500.0,False,False,41,75,0.9493670886075949,26,14.974683544303797,9
ic50_from_ba_score,,1000.0,False,False,45,77,0.9746835443037974,27,17.063291139240505,9
ba_rank,0.25,,True,True,33,77,0.9746835443037974,19,9.670886075949367,8
ba_rank,0.5,,True,True,38,77,0.9746835443037974,24,13.594936708860759,8
ba_rank,1.0,,True,True,47,77,0.9746835443037974,27,17.78481012658228,9
ba_rank,2.0,,True,True,51,77,0.9746835443037974,27,21.21518987341772,9
ic50_from_ba_score,,50.0,True,False,26,69,0.8734177215189873,15,6.822784810126582,8
ic50_from_ba_score,,150.0,True,False,31,72,0.9113924050632911,19,9.79746835443038,8
ic50_from_ba_score,,500.0,True,False,36,75,0.9493670886075949,25,13.670886075949367,8
ic50_from_ba_score,,1000.0,True,False,40,77,0.9746835443037974,26,14.848101265822784,9
