dipeptide,count_lnc,count_proteome,log2_fold_change_lnc_over_proteome,fisher_p_two_sided,q_value_fdr_bh,category,peptide_fasta,peptide_set
AA,916,81149,0.24034909544513317,7.639768464818768e-07,1.6254826520890995e-06,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
AC,261,16335,0.7435967531063699,2.305809785664133e-14,9.131919943224289e-14,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
AD,214,32443,-0.5321553975923915,1.155170076720855e-08,2.8522717943724815e-08,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
AE,479,54249,-0.11328260516182832,0.09238163590270068,0.1116394391573422,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
AF,250,31742,-0.2768087337404415,0.0021505495186329307,0.003246112480955367,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
AG,842,56047,0.6528230836355539,2.624366653511407e-34,4.373944422519012e-33,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
AH,181,18006,0.07624818286095379,0.4898463873588233,0.528136266694149,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
AI,228,31238,-0.38633459464247377,2.973087430068283e-05,5.285488764565837e-05,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
AK,227,37846,-0.6694969219584592,5.301195649022296e-14,2.0004511883103003e-13,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
AL,767,83034,-0.04874771546272385,0.38000017730883984,0.42458120369702773,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
AM,85,15720,-0.8138543586403308,1.229336056363078e-08,3.016775598437001e-08,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
AN,151,22351,-0.4962574392697554,9.832303997757631e-06,1.855151697690119e-05,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
AP,722,50692,0.5760216929597828,8.39857634769643e-24,6.338548186940702e-23,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
AQ,312,36931,-0.17619924971547318,0.031854745379029686,0.04097073360646905,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
AR,734,42404,0.8573415382609341,1.920422705128564e-48,6.983355291376595e-47,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
AS,949,66130,0.5866486111812979,7.541318787983045e-32,1.0773312554261492e-30,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
AT,378,41942,-0.08332313585683791,0.27915845654653504,0.3190382360531829,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
AV,513,53702,0.00017144568467629103,0.9822507483892953,0.9871866817982867,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
AW,185,9556,1.0216613639302903,8.53740030057993e-18,4.678027561961606e-17,enriched,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
