analysis,transition,cancer_type,n_genes_z_stratum,log2fc_mean,log2fc_std
stage,I_II,BLCA,6338,-0.3218410212001972,1.0378525883066332
stage,I_II,BRCA,6739,-0.05066177440996419,0.1513175599452167
stage,I_II,COAD,6068,-0.03428631504426476,0.1963815544459351
stage,I_II,ESCA,8157,0.10513653985851158,0.5172876442464304
stage,I_II,HNSC,5928,0.0821203816320538,0.27570548373766113
stage,I_II,KIRC,7139,-0.05134718046889339,0.21596647358529397
stage,I_II,KIRP,6530,0.04579842620153827,0.25616604537945015
stage,I_II,LIHC,5596,0.11402318570401532,0.22862738676201932
stage,I_II,LUAD,6783,-0.12442628934036996,0.1803087361541241
stage,I_II,LUSC,6989,-0.02102751821893006,0.1720569815583322
stage,I_II,PAAD,7010,-0.11124581035838017,0.54530292462798
stage,I_II,STAD,7727,0.07839775845859658,0.2705946500574645
stage,I_II,THCA,6550,-0.021969138608027024,0.3089171449025853
stage,II_III,BLCA,6354,-0.027324494068350125,0.3024262242436577
stage,II_III,BRCA,6724,0.014774901893260124,0.13525423125653552
stage,II_III,COAD,6179,0.15257885083284384,0.19159144739635123
stage,II_III,ESCA,8292,0.06890115565777327,0.28593337944972647
stage,II_III,HNSC,5941,0.02688253209092305,0.1998210845176077
stage,II_III,KIRC,7186,0.045547712560942664,0.23671354950787057
stage,II_III,KIRP,6567,-0.14378624954609878,0.41315778367704215
stage,II_III,LIHC,5720,0.030958168738580157,0.2224845425461086
stage,II_III,LUAD,6595,-0.14439987799605383,0.17712108860368533
stage,II_III,LUSC,6915,-0.09307719559004715,0.19388707841174505
stage,II_III,PAAD,7030,-0.044665307283653165,0.5818904401743592
stage,II_III,STAD,7706,0.04780775961758736,0.17199090253965374
stage,II_III,THCA,6443,-0.06807239422458645,0.3805050759542655
stage,III_IV,BLCA,6388,0.037883927795639975,0.18761500836220077
stage,III_IV,BRCA,6706,-0.1386482874338857,0.2962118872249445
stage,III_IV,COAD,6325,0.015234213768182953,0.2236236147128603
stage,III_IV,ESCA,8239,-0.14929790613764204,0.35179577179404753
stage,III_IV,HNSC,6108,0.0813650120570432,0.15834565820268917
stage,III_IV,KIRC,7201,0.014797807904818251,0.20353583066838582
stage,III_IV,KIRP,6445,0.018085439592409155,0.40465698769527136
stage,III_IV,LIHC,5756,-0.29026221926991785,0.6457415996875856
stage,III_IV,LUAD,6534,0.2546228947576702,0.3068179832452503
stage,III_IV,LUSC,6784,-0.13822406467598833,0.4753416786847399
stage,III_IV,PAAD,7383,0.08332087791773894,0.7959539670124017
stage,III_IV,STAD,7682,-0.17996780925415412,0.2784189275190951
stage,III_IV,THCA,6400,-0.07423069117796276,0.19879612475028732
stage,E_L,BLCA,6376,-0.012338443893511674,0.29128312070002177
stage,E_L,BRCA,6736,-0.006995876220223045,0.12186253169952849
stage,E_L,COAD,6210,0.14733561377556784,0.1879221804884595
stage,E_L,ESCA,8198,0.05831329552734367,0.24628395978006898
stage,E_L,HNSC,6064,0.11006839901379137,0.18413019619054777
stage,E_L,KIRC,7168,0.009298638599736524,0.2700833454320465
stage,E_L,KIRP,6525,-0.10752652593291787,0.39432249139641573
stage,E_L,LIHC,5619,0.09063209061924583,0.2312094411999521
stage,E_L,LUAD,6751,-0.16977398235645627,0.19800207439704468
stage,E_L,LUSC,6958,-0.11540146556449561,0.16511449240147325
stage,E_L,PAAD,7037,-0.006532190817921631,0.3804681078857439
stage,E_L,STAD,7684,0.038326875717861156,0.15327543454369924
stage,E_L,THCA,6504,-0.11122590884706328,0.1986275170589938
metastasis,M0s_M0l,BLCA,6350,-0.24919851594234274,0.7834048535938714
metastasis,M0s_M0l,BRCA,6721,-0.08741468337224789,0.1577207880281581
metastasis,M0s_M0l,CESC,6419,-0.1254706826362526,0.27942188456010064
metastasis,M0s_M0l,COAD,6158,0.29872370392042585,0.5443185522458921
metastasis,M0s_M0l,ESCA,8235,0.22701919574335142,0.5940142215534335
metastasis,M0s_M0l,HNSC,6056,0.04893152314798726,0.27381368255627164
metastasis,M0s_M0l,KIRC,7171,-0.03949957499867176,0.23516758971901736
metastasis,M0s_M0l,KIRP,6547,-0.1187184448651707,0.38282619849224003
