"analysis","cancer_type","transition","gene","logFC","t","P.Value","adj.P.Val","n_early","n_late"
"metastasis","BRCA","M0s_M0l","RP11-488C13.7",-0.258734465574034,-3.60377943768797,0.00033087565781616,0.0108478794935727,231,661
"metastasis","BRCA","M0s_M0l","RP11-725G5.2",-0.383007980239258,-3.21012080632532,0.0013739315339198,0.0239139995180651,231,661
"metastasis","BRCA","M0s_M0l","RP11-266K4.14",-0.312931446538137,-3.12595801171819,0.00182930076347048,0.0284600241464933,231,661
"metastasis","BRCA","M0s_M0l","RP11-1046B16.3",-0.284568929653124,-3.53038579870017,0.000436057168231646,0.0123659925218772,231,661
"metastasis","BRCA","M0s_M0l","RP11-95H3.1",-0.376762224376689,-3.7450041368205,0.000191892149870473,0.00889544978275201,231,661
"metastasis","BRCA","M0s_M0l","RP1-269M15.3",-0.850258410393507,-3.51466682564059,0.00046232129566877,0.0126885477311177,231,661
"metastasis","BRCA","M0s_M0l","RP11-774O3.3",-0.319455804487856,-3.52891068334958,0.000438461233380568,0.0123819241577765,231,661
"metastasis","BRCA","M0s_M0l","RP11-9N12.2",-0.344522947931079,-3.12703627582401,0.00182267772339808,0.0284600241464933,231,661
"metastasis","BRCA","M0s_M0l","AC034220.3",-0.239393272998035,-2.87111803888239,0.00418644346146435,0.0451174657736825,231,661
"metastasis","BRCA","M0s_M0l","RP11-121A14.2",-0.190436718838355,-3.0964905503882,0.0020191010535477,0.0294368290258007,231,661
"metastasis","BRCA","M0s_M0l","WWC2-AS2",-0.33460063656607,-3.47562479686338,0.000534088987919898,0.0139501427003029,231,661
"metastasis","BRCA","M0s_M0l","PWAR6",-0.448583746768356,-3.7470225501309,0.00019037895787574,0.00889544978275201,231,661
"metastasis","BRCA","M0s_M0l","RP11-166D19.1",-0.295935703426838,-3.15116611806806,0.00168011821373689,0.0271641243123397,231,661
"metastasis","BRCA","M0s_M0l","TP73-AS1",-0.174523136209709,-2.84603266510311,0.00452761497852132,0.047325194822149,231,661
"metastasis","BRCA","M0s_M0l","RP11-317P15.4",-0.258610657470694,-3.22351786325863,0.0013119588034891,0.0233271828525139,231,661
"metastasis","BRCA","M0s_M0l","SIAH2-AS1",-0.578071695796399,-5.00378577091259,6.76388433902678e-07,0.000367189097857633,231,661
"metastasis","BRCA","M0s_M0l","RP11-884K10.6",-0.413151236670251,-4.26551220511432,2.2060314469198e-05,0.00255633402668069,231,661
"metastasis","BRCA","M0s_M0l","RP11-710F7.2",-0.384895301575943,-3.43932171478684,0.000610029921164526,0.0149910835227235,231,661
"metastasis","BRCA","M0s_M0l","PINK1-AS",-0.222432927321956,-3.99992891794694,6.85784478401896e-05,0.00485174471509384,231,661
"metastasis","BRCA","M0s_M0l","AC105760.2",-0.27769570400016,-4.21047990915967,2.80505691030774e-05,0.00297254747973028,231,661
"metastasis","BRCA","M0s_M0l","LINC00921",-0.222316302910875,-3.39734429198239,0.000710345761201101,0.0163501159624404,231,661
"metastasis","BRCA","M0s_M0l","RP11-864J10.4",-0.248511977823425,-2.94069220152199,0.00335889198345609,0.039398103003156,231,661
"metastasis","BRCA","M0s_M0l","AC079776.3",-0.405462917200644,-3.28954100062406,0.00104258013902954,0.0200255280982053,231,661
"metastasis","BRCA","M0s_M0l","RP11-162A12.4",-0.283811874080904,-3.568767994034,0.000377671742549387,0.0114339269444794,231,661
"metastasis","BRCA","M0s_M0l","RP1-253P7.4",-0.367964721180452,-3.32971275641552,0.000904783748666903,0.0185366918940865,231,661
"metastasis","BRCA","M0s_M0l","UG0898H09",-0.470794534131278,-3.09820412070689,0.00200758634399687,0.0294368290258007,231,661
"metastasis","BRCA","M0s_M0l","CTD-2653D5.1",-0.469411576410764,-3.94523573199856,8.59418000179329e-05,0.0056079110477721,231,661
"metastasis","BRCA","M0s_M0l","RP11-400K9.4",-0.599869160171474,-4.30459542515786,1.8569520867407e-05,0.00236341570500277,231,661
"metastasis","BRCA","M0s_M0l","RP11-107I14.2",-0.578487383608687,-4.12114744853973,4.11890115738277e-05,0.00350419426313539,231,661
"metastasis","BRCA","M0s_M0l","DNM3OS",-0.384954072490825,-3.73283951168632,0.000201254333535963,0.00890305283873785,231,661
"metastasis","BRCA","M0s_M0l","SEPT4-AS1",-0.237528846297027,-3.04345904960351,0.00240691160752916,0.0321694956367823,231,661
"metastasis","BRCA","M0s_M0l","AC016745.3",-0.221760223986877,-3.08370124094584,0.00210697769160991,0.0300021124265046,231,661
"metastasis","BRCA","M0s_M0l","RP1-193H18.3",-0.324927874593119,-2.96138455313927,0.0031432901829902,0.0380674479299474,231,661
"metastasis","BRCA","M0s_M0l","RP11-432J22.2",0.20268177069609,3.03710642478448,0.0024576875152492,0.0324920248088345,231,661
"metastasis","BRCA","M0s_M0l","RP6-159A1.4",-0.432005161559269,-4.03304844009131,5.97399498185764e-05,0.00441222200802914,231,661
"metastasis","BRCA","M0s_M0l","RP11-890B15.2",-0.492466920635471,-3.67857818906871,0.000248496425411251,0.00982437926581777,231,661
"metastasis","BRCA","M0s_M0l","CH507-396I9.3",-0.881533585637656,-4.7933719932348,1.9188592426727e-06,0.000678771208947539,231,661
"metastasis","BRCA","M0s_M0l","LINC01429",-0.332017874770891,-3.14167607043707,0.00173491305646751,0.0276472914522435,231,661
"metastasis","BRCA","M0s_M0l","FRMD6-AS1",-0.354183759312812,-4.06257305245103,5.27818726151223e-05,0.00407755133156594,231,661
"metastasis","BRCA","M0s_M0l","ELFN1-AS1",0.673888877345774,3.73872535073436,0.000196672028659444,0.00889544978275201,231,661
"metastasis","BRCA","M0s_M0l","RP11-351I21.11",-0.339687221866297,-3.33355116658907,0.000892543156789884,0.018478981359807,231,661
"metastasis","BRCA","M0s_M0l","RP11-677I18.3",-0.25078701874907,-2.987337353041,0.00289076143279105,0.0358465084682447,231,661
"metastasis","BRCA","M0s_M0l","RP11-588L15.2",-0.302576266140081,-3.08879709596877,0.00207155079924585,0.0298723435388753,231,661
"metastasis","BRCA","M0s_M0l","RP3-467K16.7",-0.270408204911288,-3.44743541418482,0.000592231710729452,0.0149033724304283,231,661
"metastasis","BRCA","M0s_M0l","RP11-303E16.5",-0.29356865906017,-3.26891801017957,0.00112064882715355,0.0208418692813392,231,661
"metastasis","BRCA","M0s_M0l","RP11-804H8.6",-0.259890465766518,-3.53732151285105,0.000424918026256402,0.0122569701908553,231,661
"metastasis","BRCA","M0s_M0l","RP11-680F8.3",-0.319396067220767,-4.37985489554437,1.32759734653744e-05,0.0019828403924618,231,661
