"analysis","cancer_type","transition","gene","logFC","t","P.Value","adj.P.Val","n_early","n_late"
"stage","BLCA","II_III","CTD-3128G10.6",-0.515881210292238,-3.43046903910958,0.000695155210905123,0.0198684995037558,130,140
"stage","BLCA","II_III","RP11-774O3.3",-0.647083813690645,-3.71677644114991,0.000244496838554402,0.0110966636583905,130,140
"stage","BLCA","II_III","RP11-166D19.1",0.95957503418852,3.9253322615343,0.000109553049654442,0.00725104247400338,130,140
"stage","BLCA","II_III","MEF2C-AS1",0.618823104948044,3.5348852660513,0.000478552706234753,0.0162605555904579,130,140
"stage","BLCA","II_III","LINC01127",0.877730966604685,3.11200393182927,0.00205414151594139,0.0367662399782862,130,140
"stage","BLCA","II_III","RP11-539L10.2",-0.671307617030013,-3.44698638759334,0.000655675268801296,0.0194680404577731,130,140
"stage","BLCA","II_III","RP11-317P15.4",0.672851940130215,3.71063363937362,0.000250214559090791,0.0111179252340062,130,140
"stage","BLCA","II_III","RP13-514E23.1",-0.721488905731245,-3.58495042093517,0.000398853551157582,0.0150852110955671,130,140
"stage","BLCA","II_III","RP11-815J21.4",0.462140723577469,3.48617094369398,0.000570244341866688,0.0180486081154608,130,140
"stage","BLCA","II_III","RRS1-AS1",-0.540832545697585,-3.20326533660467,0.00151880456907961,0.0302886044544989,130,140
"stage","BLCA","II_III","XX-FW83563B9.5",-0.346994439921243,-3.04033181399233,0.00259124676797098,0.0418951195004773,130,140
"stage","BLCA","II_III","PGM5P4-AS1",0.487261177882902,3.20947385891185,0.00148755302521765,0.0301212430901419,130,140
"stage","BLCA","II_III","RP11-417E7.1",1.04309371088913,3.63168495970654,0.000335863637485675,0.0135256856221748,130,140
"stage","BLCA","II_III","RP11-337N6.3",0.378425078976687,3.14012850760692,0.00187300584682115,0.034845628874218,130,140
"stage","BLCA","II_III","RP3-453C12.15",-0.792910963190012,-3.4046822234639,0.000761257057707718,0.0206674437785645,130,140
"stage","BLCA","II_III","DNM3OS",0.603061724496695,3.04710533656239,0.00253544605965447,0.0413082673411398,130,140
"stage","BLCA","II_III","RP4-601P9.2",-0.712567973906251,-3.06550746543808,0.00238938023653839,0.0401643439760977,130,140
"stage","BLCA","II_III","RP11-187O7.3",0.310445421155326,3.01156690012026,0.00284101674179322,0.0438150980032868,130,140
"stage","BLCA","II_III","RP3-325F22.5",-0.588899117552419,-3.17899151311658,0.00164691794560749,0.0321985126965845,130,140
"stage","BLCA","II_III","LINC01429",0.547497094670751,3.65537941025535,0.000307625003873171,0.0129067956026619,130,140
"stage","BLCA","II_III","CTD-3222D19.12",-0.461322798239216,-3.53803711924946,0.000473124148339585,0.016220179898024,130,140
"stage","BLCA","II_III","RP11-37C7.3",-0.585375147807634,-3.55369104826,0.000447008094490697,0.0158666386228878,130,140
"stage","BLCA","II_III","RP11-44N12.5",0.761269644353935,3.76779472338708,0.000201550154498295,0.00998747798986705,130,140
"stage","BLCA","II_III","RP11-499P20.2",-0.834440819370915,-4.06307898540821,6.32558433799236e-05,0.00496206949180289,130,140
"stage","BLCA","II_III","AC020571.3",0.800996151226821,3.86414283881205,0.000139149801013516,0.00834111165697999,130,140
"stage","BLCA","II_III","AC068831.16",-0.646993736263739,-3.42866453766198,0.000699600423053372,0.0198684995037558,130,140
"stage","BLCA","II_III","ST3GAL5-AS1",-0.688237899517445,-3.24929647613065,0.00130084968707964,0.0281142820125988,130,140
"stage","BLCA","II_III","LINC00470",1.13166521163745,3.37423833155334,0.000846839004496372,0.0216968348168143,130,140
"stage","BLCA","II_III","RP4-782L23.1",-0.684913257086401,-4.48246666067735,1.08440859662963e-05,0.00140619024958871,130,140
"stage","BLCA","II_III","RP11-423H2.3",-0.667153364891393,-3.23815545367651,0.00135076403470166,0.0284917057292733,130,140
"stage","BLCA","II_III","MLK7-AS1",0.674598344465382,4.40871121646441,1.49336946190247e-05,0.00180040269012472,130,140
"stage","BLCA","II_III","RP4-635E18.8",-0.474017461895248,-3.56024797962666,0.00043647612896714,0.0158222376641224,130,140
"stage","BLCA","II_III","RP11-802E16.3",-0.487243010278739,-3.37872444802147,0.000833687822020491,0.0214463660774016,130,140
"stage","BLCA","II_III","RASAL2-AS1",0.538112841027289,3.71242300478379,0.000248536132743521,0.0111179252340062,130,140
"stage","BLCA","II_III","RP11-173P15.10",-0.44798563449448,-3.38151022388497,0.000825617370659736,0.0214463660774016,130,140
"stage","BLCA","II_III","RP1-29C18.10",-0.869224971148614,-3.20290692256674,0.00152062713581762,0.0302886044544989,130,140
"stage","BLCA","II_III","LINC00607",0.837703045821107,4.52908454824062,8.83939657561172e-06,0.00119501118811568,130,140
"stage","BLCA","II_III","RP5-907D15.4",1.24822912566201,5.429059574073,1.24636536760571e-07,6.0918504198205e-05,130,140
"stage","BLCA","II_III","RP11-276H19.1",0.639529608511335,3.22936415858373,0.00139139875023206,0.02890672109073,130,140
"stage","BLCA","II_III","RP11-184M15.1",0.556411296392724,3.38419082181002,0.000817920472388787,0.0213871056854253,130,140
"stage","BLCA","II_III","IQCH-AS1",-0.45817102308081,-3.83231353707637,0.000157396191192013,0.00885040175959335,130,140
"stage","BLCA","II_III","RP5-965G21.6",-0.659534778576189,-3.79421378501149,0.000182215329506303,0.00958476965865011,130,140
"stage","BLCA","II_III","RP11-386M24.9",-0.374089896983173,-3.608978136605,0.000365198777884686,0.0143239076214771,130,140
"stage","BLCA","II_III","RP11-439E19.9",-0.620582312502827,-4.08368492876687,5.81914948194186e-05,0.00468036402636185,130,140
"stage","BLCA","II_III","RP11-20I23.6",-0.30399673850771,-3.03153381680045,0.00266541085681193,0.0425528155381483,130,140
"stage","BLCA","II_III","RP11-448G15.3",-0.581337947295584,-3.48871702250652,0.000565070659949874,0.0180425074036256,130,140
"stage","BLCA","II_III","CTC-327F10.5",0.526492142857144,3.13207468061686,0.00192330812333134,0.0355252901617656,130,140
"stage","BLCA","II_III","TFAP2A-AS1",-0.477358251584501,-2.98310022429627,0.00310978169441437,0.04605956383755,130,140
"stage","BLCA","II_III","LINC00632",0.738373494063289,4.16119030953552,4.23885212234829e-05,0.00383986206330525,130,140
"stage","BLCA","II_III","RP4-598P13.1",0.492116779555382,3.39748019454917,0.000780740997373846,0.0208438163752665,130,140
"stage","BLCA","II_III","CTD-2192J16.26",-0.474463349215997,-2.9881108203118,0.00306084580761337,0.0457593878165345,130,140
"stage","BLCA","II_III","CTD-2537I9.18",-0.425633450647118,-2.97238030798491,0.00321689493056806,0.0469242656542295,130,140
"stage","BLCA","II_III","RP11-175O19.4",-0.444607945716776,-4.5888081253026,6.7865452363072e-06,0.00106082717968311,130,140
"stage","BLCA","II_III","LUCAT1",0.905059865445907,3.50483023780472,0.00053333405286531,0.017558572911431,130,140
"stage","BLCA","II_III","CELF2-AS1",0.493831731510221,3.34894030138953,0.000924694587848751,0.0229646973495353,130,140
"stage","BLCA","II_III","AC093627.8",0.594166104888405,3.66232527692344,0.000299780498552846,0.0127338613192431,130,140
"stage","BLCA","II_III","LEF1-AS1",0.638416433880937,3.94650282115035,0.000100783608747647,0.00688579623637149,130,140
"stage","BLCA","II_III","MEG8",0.497076632693788,3.23668838040512,0.00135746764819378,0.0284917057292733,130,140
"stage","BLCA","II_III","RP11-613D13.8",0.613429435605875,3.53806445473068,0.000473077321028117,0.016220179898024,130,140
"stage","BLCA","II_III","RP4-625H18.2",-0.867946394887846,-3.32331128507861,0.00101032874491676,0.0241630416099049,130,140
"stage","BLCA","II_III","AC002519.8",-0.748850091973156,-4.69266838669676,4.25862660628941e-06,0.000773123241610368,130,140
"stage","BLCA","II_III","RP11-981G7.6",-0.602790408662311,-3.21409337146112,0.00146468769885279,0.0300213730274536,130,140
"stage","BLCA","II_III","CTB-61M7.2",0.63869388384875,3.02890098247179,0.00268798101694886,0.0426844968555161,130,140
"stage","BLCA","II_III","AC073072.5",0.658192926501063,3.32709166601221,0.000997249446452115,0.0241630416099049,130,140
"stage","BLCA","II_III","CD27-AS1",-0.373248561115913,-3.5370537066455,0.000474811687288709,0.016220179898024,130,140
"stage","BLCA","II_III","CFAP58-AS1",0.7629389955003,4.10176240747806,5.40686990045929e-05,0.0044439079585235,130,140
"stage","BLCA","II_III","AGAP11",-1.26571611416856,-4.10622551682714,5.30945171992994e-05,0.0044396644466093,130,140
"stage","BLCA","II_III","RP11-504P24.8",-0.410925724545177,-3.25524935967165,0.00127488633352493,0.0276471937311174,130,140
"stage","BLCA","II_III","LINC00856",0.467557962344113,3.43771653255603,0.000677566251671323,0.0196587030279433,130,140
"stage","BLCA","II_III","RP11-44F21.3",-0.648864739186743,-4.32682350782484,2.12002288538965e-05,0.00224510423562764,130,140
"stage","BLCA","II_III","ROR1-AS1",0.847156812948744,5.21142014280382,3.68604871203496e-07,0.000137771491272177,130,140
"stage","BLCA","II_III","RP11-217B1.2",-0.523237195382899,-3.75057623805182,0.000215177760430572,0.0102799961637282,130,140
"stage","BLCA","II_III","XXbac-BPG13B8.10",0.46597230300345,2.99584218657163,0.00298672148842751,0.0451848293749248,130,140
"stage","BLCA","II_III","RP11-526I2.5",-0.869406901048525,-4.77206436115825,2.96614289082109e-06,0.000649892135457835,130,140
"stage","BLCA","II_III","RP5-1054A22.4",0.765966671275393,4.96734697486554,1.19456501510793e-06,0.000330011569825905,130,140
"stage","BLCA","II_III","RP3-333A15.2",0.459403987730892,3.56558335939736,0.0004280785985045,0.0156322495109057,130,140
"stage","BLCA","II_III","MIRLET7BHG",-0.510186992801727,-3.04886113071176,0.00252116317881933,0.0412872959747887,130,140
"stage","BLCA","II_III","RP11-356O9.1",-0.831792063875341,-4.34013157922587,2.00337678363022e-05,0.00215753492935363,130,140
"stage","BLCA","II_III","A1BG-AS1",0.650486486647902,2.94525012715693,0.00350325428289713,0.0493562698747857,130,140
"stage","BLCA","II_III","RP11-173C1.1",0.71254125340981,3.19829981134884,0.00154423576374129,0.0305672088561127,130,140
"stage","BLCA","II_III","CTD-3025N20.3",-0.415536461527255,-3.47599258790111,0.000591373249394931,0.0182970018961978,130,140
"stage","BLCA","II_III","LINC00578",1.28273642717002,6.41212811287291,6.23657813114594e-10,1.98136087226507e-06,130,140
"stage","BLCA","II_III","RP5-1198O20.4",0.750652991647623,4.42642912380695,1.3833981613231e-05,0.00172355135628372,130,140
"stage","BLCA","II_III","SPATA13",0.598249636623486,3.79038737780058,0.000184902801954915,0.00958476965865011,130,140
"stage","BLCA","II_III","RP11-407N8.6",-0.431618246390583,-3.22921275605459,0.00139210838113997,0.02890672109073,130,140
"stage","BLCA","II_III","AP006621.9",-0.638392063065908,-3.4447524092881,0.000660889544044846,0.0194925085528303,130,140
"stage","BLCA","II_III","RP1-313L4.3",0.403114763901683,3.15716997890842,0.00177054998608643,0.0335823122734125,130,140
"stage","BLCA","II_III","CTC-327F10.4",0.670581208791213,3.57998638863911,0.00040616029030997,0.015225606717378,130,140
"stage","BLCA","II_III","CTC-499B15.8",-0.38122253434581,-3.02592169942513,0.00271373283846232,0.0427097507037715,130,140
"stage","BLCA","II_III","RP3-431P23.5",0.930646477200553,4.92614712943369,1.45062730768282e-06,0.000384053579709026,130,140
"stage","BLCA","II_III","AC024592.9",-0.631383241758243,-3.32390319779436,0.00100827036786393,0.0241630416099049,130,140
"stage","BLCA","II_III","AP000473.5",0.434470409461569,3.16044601141772,0.00175145766283586,0.0333196466756259,130,140
"stage","BLCA","II_III","MIR4435-2HG",0.5432743342472,3.2995553889549,0.00109624186697146,0.0250558302976139,130,140
"stage","BLCA","II_III","RP11-679B19.1",0.693347398420007,3.51732528659706,0.000509881764635483,0.0169627879429838,130,140
"stage","BLCA","II_III","RP11-439M11.1",0.45342975617389,2.98590377649814,0.00308231318625696,0.0457593878165345,130,140
