gene_name,n_unique_filtered_peptides,smPEP_IDs
AATBC,0,
ABHD11-AS1,0,
AC000036.4,0,
AC000068.9,0,
AC000095.11,0,
AC002059.10,0,
AC002116.8,0,
AC002398.12,0,
AC002454.1,0,
AC002511.2,0,
AC002511.3,0,
AC003090.1,0,
AC003092.1,0,
AC003958.2,0,
AC003984.1,0,
AC003986.6,0,
AC004019.13,0,
AC004231.2,0,
AC004538.3,0,
AC004862.6,0,
AC004870.4,0,
AC004947.2,0,
AC004988.1,0,
AC005037.3,0,
AC005082.12,0,
AC005083.1,0,
AC005281.1,0,
AC005306.3,0,
AC005329.7,0,
AC005330.2,0,
AC005339.2,0,
AC005355.2,0,
AC005537.2,0,
AC005540.3,0,
AC005550.3,0,
AC005592.1,0,
AC005592.3,0,
AC005606.14,0,
AC005606.15,0,
AC005618.6,0,
AC005754.8,0,
AC005786.7,0,
AC005944.2,0,
AC006042.6,0,
AC006126.4,0,
AC006129.2,0,
AC006159.4,0,
AC006227.1,0,
AC006262.5,0,
AC006273.5,0,
AC006946.16,0,
AC006946.17,0,
AC007009.1,0,
AC007036.5,0,
AC007128.1,1,148125
AC007163.3,0,
AC007182.6,0,
AC007192.6,0,
AC007204.2,0,
AC007255.8,0,
AC007278.3,0,
AC007319.1,0,
AC007405.4,0,
AC007405.6,0,
AC007620.3,0,
AC007743.1,0,
AC007750.5,0,
AC007879.7,0,
AC008060.7,0,
AC008063.2,0,
AC008132.15,0,
AC008268.1,0,
AC008440.10,0,
AC009014.3,0,
AC009166.5,0,
AC009299.3,0,
AC010091.1,0,
AC010524.2,0,
AC010761.9,0,
AC011294.3,0,
AC011298.2,0,
AC011738.4,0,
AC011747.3,0,
AC011747.4,0,
AC011899.9,0,
AC012360.6,0,
AC012668.2,0,
AC013264.2,0,
AC013275.2,0,
AC013463.2,0,
AC015849.16,0,
AC016735.2,0,
AC016738.4,0,
AC016747.3,0,
AC016768.1,0,
AC016995.3,0,
AC017060.1,0,
AC018647.3,0,
AC018890.6,0,
AC019117.1,0,
AC019117.2,0,
AC020571.3,0,
AC021188.4,0,
AC021218.2,0,
AC022182.3,0,
AC022816.2,0,
AC024560.2,0,
AC025165.8,0,
AC026202.3,0,
AC026471.6,0,
AC034243.1,0,
AC064875.2,0,
AC067959.1,0,
AC068138.1,0,
AC068282.3,0,
AC068491.2,0,
AC068535.3,0,
AC073072.5,0,
AC073133.1,0,
AC073257.2,0,
AC073283.4,0,
AC074212.5,0,
AC078842.3,0,
AC079630.2,0,
AC079630.4,0,
AC079767.4,0,
AC083900.1,0,
AC084219.4,0,
AC090286.4,0,
AC090616.2,0,
AC091801.1,0,
AC092415.1,0,
AC092580.4,0,
AC093326.1,0,
AC093390.1,0,
AC093627.8,0,
AC093627.9,0,
AC093850.2,0,
AC096669.3,0,
AC097468.4,0,
AC098617.1,0,
AC098973.2,0,
AC099684.1,0,
AC103563.8,0,
AC104024.1,0,
AC104654.2,0,
AC104667.3,0,
AC104809.4,0,
AC104820.2,0,
AC106786.1,2,292454;298813
AC106876.2,0,
AC108142.1,0,
AC108676.1,0,
AC109642.1,0,
AC114730.3,0,
AC116614.1,0,
AC128709.3,0,
AC129492.6,0,
AC131097.4,0,
AC132217.4,0,
AC133785.1,0,
AC138035.2,0,
AC139099.5,0,
AC141928.1,0,
AC144450.1,0,
AC144450.2,0,
AC144836.1,0,
AC145110.1,0,
AC147651.5,0,
AC156455.1,3,115655;136978;136979
AC159540.1,0,
AC226118.1,0,
ACTA2-AS1,0,
ADAMTS9-AS1,0,
ADORA2A-AS1,0,
AE000661.37,0,
AF011889.2,0,
AF127577.10,0,
AF129408.17,0,
AF131215.2,0,
AF131215.9,0,
AF131216.5,0,
AF131217.1,0,
AF186192.1,0,
AF186192.6,0,
AF196972.9,0,
AFAP1-AS1,0,
AGAP11,0,
AL022344.7,0,
AL035610.1,0,
AL109763.2,0,
AL133493.2,0,
AL161668.5,0,
AL450992.2,0,
AL591893.1,0,
AL928768.3,0,
ALDH1L1-AS2,0,
AP000230.1,0,
AP000251.3,0,
AP000289.6,0,
AP000439.1,0,
AP000439.3,0,
AP000662.4,0,
AP000695.6,0,
AP001062.8,0,
AP001065.15,0,
AP001187.9,0,
AP001189.4,0,
AP001626.1,0,
AP001627.1,0,
AP003068.9,0,
AP003774.4,0,
AP004372.1,0,
APCDD1L-AS1,0,
AQP4-AS1,0,
ARAP1-AS1,0,
ARHGEF26-AS1,0,
ATP13A4-AS1,0,
ATP6V1B1-AS1,3,260997;298812;377972
B3GALT5-AS1,0,
BAALC-AS2,0,
BBOX1-AS1,0,
BCYRN1,0,
BFSP2-AS1,0,
BLACAT1,0,
BX470102.3,0,
BZRAP1-AS1,0,
C10orf126,0,
C10orf95,0,
C11orf97,0,
C14orf132,0,
C15orf59-AS1,0,
C18orf65,0,
C1QTNF1-AS1,0,
C1orf132,0,
C20orf166-AS1,0,
C20orf197,0,
C2orf48,0,
C4A-AS1,0,
C4B-AS1,0,
C5orf58,0,
C6orf99,4,169544;169545;169546;327431
C8orf34-AS1,0,
C8orf49,0,
C9orf106,0,
CADM3-AS1,0,
CALML3-AS1,0,
CASC19,0,
CASC8,0,
CCAT1,0,
CCDC13-AS1,0,
CCDC144NL-AS1,0,
CDKN2B-AS1,8,248646;254319;29158;297128;320133;55204;57175;63002
CDR1-AS,0,
CECR7,0,
CH17-360D5.2,0,
CH17-360D5.3,0,
CH17-408M7.1,0,
CH17-437K3.1,0,
CH507-145C22.1,0,
CH507-210P18.1,0,
CH507-396I9.3,0,
CHL1-AS1,0,
CHL1-AS2,0,
CHRM3-AS2,0,
CITF22-49D8.1,0,
CLDN10-AS1,0,
CMB9-22P13.1,0,
COL18A1-AS1,0,
COLCA1,0,
CPS1-IT1,0,
CTA-212A2.3,0,
CTA-221G9.12,0,
CTA-280A3.2,0,
CTA-293F17.1,0,
CTA-315H11.2,0,
CTA-363E6.2,0,
CTA-363E6.6,0,
CTA-384D8.34,0,
CTA-384D8.35,0,
CTA-398F10.2,0,
CTB-107G13.1,0,
