analysis,cancer_type,transition,gene,log2FC,z,n_early,n_late
metastasis,BLCA,M0s_M0l,C1QTNF1-AS1,-2.7176789146554565,-3.150963882070624,3,146
metastasis,BLCA,M0s_M0l,RP5-940J5.9,3.867311319885866,5.254639177870436,3,146
metastasis,BLCA,M0s_M0l,RP11-362F19.1,-3.20576985340927,-3.77400181260513,3,146
metastasis,BLCA,M0s_M0l,TRPM2-AS,3.0027525356479905,4.151047873487126,3,146
metastasis,BLCA,M0s_M0l,RPPH1,-3.173818422094521,-3.733216475153911,3,146
metastasis,BLCA,M0s_M0l,RMRP,-3.7939381860799095,-4.524786454763544,3,146
metastasis,BLCA,M0s_M0l,NPSR1-AS1,-2.6135718410106854,-3.0180733680954046,3,146
metastasis,BLCA,M0s_M0l,CTB-191K22.5,3.0359841169146575,4.193467295723557,3,146
metastasis,BLCA,M0s_M0l,RP11-54H7.4,2.7692714294407077,3.853014098056469,3,146
metastasis,BLCA,M0s_M0l,LINC00472,-3.1002139318761417,-3.639261874437923,3,146
metastasis,BLCA,M0s_M0l,RP1-60O19.1,-2.8935337775644583,-3.375438956615117,3,146
metastasis,BLCA,M0s_M0l,RP1-20B21.4,2.298738496975,3.252388597324457,3,146
metastasis,BLCA,M0s_M0l,XIST,2.3058046826642697,3.2614084363730074,3,146
metastasis,BLCA,M0s_M0l,CTD-2554C21.2,-2.625778095943454,-3.0336543986146465,3,146
metastasis,BLCA,M0s_M0l,RP11-138A9.2,-2.7550789612682873,-3.1987042636131404,3,146
metastasis,BLCA,M0s_M0l,C14orf132,2.9433531734889726,4.075225823257895,3,146
metastasis,BLCA,M0s_M0l,AC016735.2,3.026951430562945,4.181937259484599,3,146
metastasis,BLCA,M0s_M0l,RP11-138A9.1,-2.766197722519954,-3.2128971310694237,3,146
metastasis,BLCA,M0s_M0l,RP1-34M23.5,2.371494080161185,3.345259585871973,3,146
metastasis,BLCA,M0s_M0l,CH507-254M2.1,3.549469385022397,4.8489205594506375,3,146
metastasis,BLCA,M0s_M0l,RP13-870H17.3,-3.5629273668707144,-4.229905949301481,3,146
metastasis,BLCA,M0s_M0l,TBX5-AS1,2.2948288740373295,3.2473980449686284,3,146
metastasis,BLCA,M0s_M0l,AC106786.1,2.379864328091804,3.3559440332457933,3,146
metastasis,BLCA,M0s_M0l,SCARNA10,-3.938264756856622,-4.709016320221505,3,146
metastasis,BLCA,M0s_M0l,AC006262.5,4.619439439603333,6.2147150776648745,3,146
metastasis,BLCA,M0s_M0l,RP11-276H19.2,2.5390312130135153,3.559117251016315,3,146
metastasis,BLCA,M0s_M0l,U47924.27,2.273554022474766,3.2202411394874266,3,146
metastasis,BLCA,M0s_M0l,SOX21-AS1,2.3249107018531974,3.285796872443168,3,146
metastasis,BLCA,M0s_M0l,CASC9,2.1470650729524428,3.058780626520147,3,146
metastasis,BLCA,M0s_M0l,FZD10-AS1,3.030546111899475,4.186525795437675,3,146
metastasis,BLCA,M0s_M0l,RP11-500B12.1,-2.74175203659758,-3.1816927214844823,3,146
metastasis,BLCA,M0s_M0l,UCA1,3.1092929518123293,4.287044498572591,3,146
metastasis,BLCA,M0s_M0l,RP11-706O15.5,3.667334280779611,4.999372647175789,3,146
metastasis,BLCA,M0s_M0l,DLX6-AS1,2.749282414159771,3.82749853584207,3,146
metastasis,BLCA,M0s_M0l,CTC-518P12.6,2.1333161963529688,3.0412304715314447,3,146
metastasis,BLCA,M0s_M0l,FLJ16779,2.35355337958379,3.322358654769629,3,146
metastasis,BLCA,M0s_M0l,RP11-44F14.2,2.657761626289955,3.710674153851118,3,146
