analysis,cancer_type,transition,gene,log2FC,z,n_early,n_late
stage,BLCA,I_II,RP11-1143G9.5,-3.76511422448423,-3.3176900477765336,2,130
stage,BLCA,I_II,RP11-417E7.1,2.972175480594231,3.1738770408319414,2,130
stage,BLCA,I_II,ELFN1-AS1,2.820329564828847,3.0275692535062513,2,130
stage,BLCA,I_II,RP1-29C18.10,-3.732652811733461,-3.2864125685694594,2,130
stage,BLCA,I_II,RPPH1,-5.361065691692309,-4.855433928930256,2,130
stage,BLCA,I_II,RMRP,-5.329763363457693,-4.825273260076803,2,130
stage,BLCA,I_II,NPSR1-AS1,-4.745877331958846,-4.262682736068457,2,130
stage,BLCA,I_II,RP11-54H7.4,3.188515648438462,3.3823268440908154,2,130
stage,BLCA,I_II,SND1-IT1,-3.913592847822308,-3.460753354657462,2,130
stage,BLCA,I_II,RP1-60O19.1,-4.363433279408077,-3.8941871935803203,2,130
stage,BLCA,I_II,AC017060.1,-3.447405168714615,-3.011568485476447,2,130
stage,BLCA,I_II,RP11-138A9.2,-3.522474413681153,-3.083899802864229,2,130
stage,BLCA,I_II,LA16c-390E6.5,3.0701911908796156,3.268317919420786,2,130
stage,BLCA,I_II,RP11-398E10.1,-4.327863517736153,-3.8599147332399175,2,130
stage,BLCA,I_II,HOXA-AS3,3.5779797511676916,3.7575864012931364,2,130
stage,BLCA,I_II,SCARNA9,-3.499921342985385,-3.0621692883866714,2,130
stage,BLCA,I_II,RP11-138A9.1,-3.603919966977692,-3.162374871688238,2,130
stage,BLCA,I_II,AC106786.1,2.9178087652784614,3.121493189860895,2,130
stage,BLCA,I_II,SCARNA10,-6.486880165719231,-5.940187666321622,2,130
stage,BLCA,I_II,AC006262.5,4.1303795185176915,4.289839029049549,2,130
stage,BLCA,I_II,RP11-789C1.1,-4.216155199766538,-3.752280644133025,2,130
stage,BLCA,I_II,SOX21-AS1,2.866725333796923,3.0722728747052654,2,130
stage,BLCA,I_II,CTD-2201E9.1,-3.706476829712692,-3.261191277688952,2,130
stage,BLCA,I_II,RP11-116G8.5,-3.5481932074923073,-3.108680580116148,2,130
stage,BLCA,I_II,RP11-386G11.10,2.9893848892607675,3.190458787469598,2,130
stage,BLCA,I_II,RP11-500B12.1,-3.943257607056539,-3.489336179972406,2,130
stage,BLCA,I_II,RP11-16C1.2,-3.640623504701923,-3.1977397569694097,2,130
stage,BLCA,I_II,RP11-706O15.5,3.015301393311538,3.2154300640678053,2,130
stage,BLCA,I_II,RP11-326C3.2,4.018812971820769,4.1823415405295705,2,130
stage,BLCA,I_II,AC005592.3,-3.459113855943846,-3.0228501331412034,2,130
stage,BLCA,I_II,CTC-518P12.6,3.4061811882146156,3.592053680279853,2,130
stage,BLCA,I_II,RP11-322E11.2,-4.2918749225923065,-3.825238715133564,2,130
stage,BLCA,I_II,AC007319.1,-3.7326969406407695,-3.28645508800604,2,130
stage,BLCA,I_II,RP11-234K24.3,-3.614132175443077,-3.1722146202040147,2,130
stage,BLCA,I_II,TRHDE-AS1,-3.8469267279653856,-3.3965186833678764,2,130
stage,BLCA,I_II,RP11-598F7.4,-5.365516435780769,-4.859722345357219,2,130
stage,BLCA,I_II,CTA-363E6.7,3.27829,3.468826943019137,2,130
stage,BLCA,I_II,DKFZp434J0226,3.3657287492869226,3.553076623823603,2,130
stage,BLCA,I_II,INE2,3.3334060899234625,3.5219328373864576,2,130
stage,BLCA,I_II,HOXA10-AS,3.954775107232692,4.12063926670997,2,130
stage,BLCA,I_II,RP11-314B1.2,-3.7957690074857693,-3.3472267886845617,2,130
stage,BLCA,I_II,RP11-809C18.3,-4.188924060039615,-3.7260426792874073,2,130
stage,BLCA,I_II,LINC01133,4.49676378933,4.642860522602986,2,130
stage,BLCA,I_II,RP4-737E23.2,2.991171911497692,3.1921806333820704,2,130
stage,BLCA,I_II,AP003068.9,3.0478221191061534,3.2467646930517504,2,130
stage,BLCA,I_II,LINC00839,2.861286871575385,3.0670327642282933,2,130
stage,BLCA,II_III,RP11-166D19.1,0.959575034188517,3.26327364872216,130,140
stage,BLCA,II_III,MALAT1,-1.204250384615385,-3.891613214067088,130,140
stage,BLCA,II_III,RP11-169F17.1,0.9048111873641811,3.0821919751295486,130,140
stage,BLCA,II_III,RP11-417E7.1,1.043093710889127,3.5394358000352053,130,140
stage,BLCA,II_III,LINC00470,1.13166521163744,3.8323055766884133,130,140
stage,BLCA,II_III,RP5-907D15.4,1.2482291256620057,4.21773483076875,130,140
stage,BLCA,II_III,H19,1.0752702713058788,3.6458305430745126,130,140
stage,BLCA,II_III,CTD-2626G11.2,-1.190647699180973,-3.846634689243617,130,140
stage,BLCA,II_III,LUCAT1,0.9050598654459008,3.083014251975221,130,140
stage,BLCA,II_III,RP11-54H7.4,1.197425155714325,4.049746852627181,130,140
stage,BLCA,II_III,AGAP11,-1.265716114168554,-4.094855276513523,130,140
stage,BLCA,II_III,LINC00578,1.282736427170022,4.331836382624301,130,140
stage,BLCA,II_III,RP3-431P23.5,0.9306464772005487,3.1676187264008036,130,140
stage,BLCA,II_III,GATA3-AS1,-1.0796236332469071,-3.479523450091895,130,140
stage,BLCA,II_III,PCBP3-OT1,-0.9805920505665879,-3.1520664548263926,130,140
stage,BLCA,II_III,MSC-AS1,1.4026868577023288,4.728463463600142,130,140
stage,BLCA,II_III,RP1-170O19.17,-1.0044181936864685,-3.23084977852614,130,140
stage,BLCA,II_III,RP11-426C22.4,1.2188364949839343,4.120545406301412,130,140
stage,BLCA,II_III,WISP1-OT1,1.1402371109662197,3.8606493466449288,130,140
stage,BLCA,II_III,CTD-2008P7.9,-1.2212675583808341,-3.947882057180835,130,140
stage,BLCA,II_III,LINC00922,1.0305935096102352,3.4981027400131994,130,140
stage,BLCA,II_III,LINC00540,1.1140466879685493,3.7740483150605466,130,140
stage,BLCA,II_III,RP11-758M4.4,0.891400868691604,3.0378495286167992,130,140
stage,BLCA,II_III,LINC01207,-0.9689142307692311,-3.11345267446868,130,140
stage,BLCA,II_III,LINC00704,0.9037337455514511,3.0786293151273463,130,140
stage,BLCA,II_III,RP11-366L20.2,1.417586313704176,4.777729879034549,130,140
stage,BLCA,II_III,RP11-627G23.1,-1.4540749776939235,-4.717681104519805,130,140
stage,BLCA,II_III,DUXAP8,0.9752189256995738,3.3150016083267904,130,140
stage,BLCA,II_III,TMEM51-AS1,-0.9587671888957647,-3.079900551471267,130,140
stage,BLCA,II_III,RP11-576I22.2,0.9101572753525935,3.099869304540325,130,140
stage,BLCA,II_III,C1orf132,-1.1535915266353172,-3.724105061932592,130,140
stage,BLCA,II_III,PP14571,-0.999463475145637,-3.2144665480267918,130,140
stage,BLCA,II_III,RP11-400N13.3,1.2691911744530497,4.287047764339469,130,140
stage,BLCA,II_III,CTD-2171N6.1,1.004817052845989,3.4128705256815524,130,140
stage,BLCA,II_III,UCA1,-1.6018062590489297,-5.206168112299866,130,140
stage,BLCA,II_III,RP11-386M24.3,-1.235323212788896,-3.99435836538861,130,140
stage,BLCA,II_III,RP5-884M6.1,0.8955435462362078,3.0515476712132767,130,140
stage,BLCA,II_III,ALDH1L1-AS2,-1.0806071043361145,-3.4827753872929987,130,140
stage,BLCA,II_III,RP11-96C23.13,-1.0006769520032428,-3.218479020359972,130,140
stage,BLCA,II_III,LINC01235,0.9823955052157682,3.33873162557031,130,140
stage,BLCA,II_III,RP3-416H24.1,-1.1256260426687952,-3.6316346287336816,130,140
stage,BLCA,II_III,HAND2-AS1,0.938557061165675,3.1937757965586906,130,140
stage,BLCA,II_III,RP11-426C22.5,0.9142839409708183,3.1135145022362103,130,140
stage,BLCA,II_III,CTB-176F20.3,-1.0162613299741698,-3.2700101929952226,130,140
stage,BLCA,II_III,RP11-66N24.6,-0.9472624725274725,-3.04185915345076,130,140
stage,BLCA,II_III,RP11-96C23.14,-0.9799530997124837,-3.1499537053262383,130,140
