Gene_symbol,Ensembl_ID,nMPs,Size_aa,nMPs_gt30_aa
XIST,ENSG00000229807.12,30,96,20
PVT1,ENSG00000249859.11,27,90,17
LINC00511,ENSG00000227036.8,16,74,14
MIR7-3HG,ENSG00000176840.12,15,84,8
DUXAP8,ENSG00000206195.11,15,72,9
HAND2-AS1,ENSG00000237125.10,11,83,10
LINC01515,ENSG00000228065.11,11,34,1
