RiboID	smPEP_ID	GeneID	TranscriptID	GeneSymbol	GeneType	StartOnTrans	StopOnTrans	TISType	TISCounts	TISPvalue	RiboPvalue
SRR618770,618771,618772,618773_alt	190706	ENSG00000177410.13	ENST00000620594.2	ZFAS1	lncRNA	99	177	Novel	543	7.546254710872541e-108	4.398240678493893e-05
GSE81802_alt	61839	ENSG00000242125.3	ENST00000437681.1	SNHG3	lncRNA	1116	1227	Novel	4390	3.0293027891286326e-98	0.0342165727472612
SRR618770,618771,618772,618773_alt	197247	ENSG00000225470.8	ENST00000639185.1	JPX	lncRNA	170	272	Novel	123	5.62951610901118e-90	2.041839998669016e-08
SRR618770,618771,618772,618773_alt	187540	ENSG00000175061.18	ENST00000579473.6	SNHG29	lncRNA	18	180	Novel	187	1.5875333784678056e-74	0.0005482763379485
SRR618770,618771,618772,618773_alt	123807	ENSG00000280383.1	ENST00000623075.1	Z95331.1	lncRNA	14956	15037	Novel	99	5.315618204061369e-73	0.0008619034447034
SRR618770,618771,618772,618773_alt	359990	ENSG00000287190.1	ENST00000659152.1	AC239799.2	lncRNA	37	85	Novel	470	3.5787171840218616e-61	0.0035120949466876
SRR618770,618771,618772,618773_alt	193478	ENSG00000163597.15	ENST00000493536.6	SNHG16	lncRNA	36	138	Novel	202	1.2432556985515677e-58	0.0001426698712901
SRR618770,618771,618772,618773_alt	193477	ENSG00000163597.15	ENST00000448136.5	SNHG16	lncRNA	22	118	Novel	202	1.2432556985515677e-58	0.013475763536601
SRR618770,618771,618772,618773_alt	193474	ENSG00000163597.15	ENST00000668511.1	SNHG16	lncRNA	22	136	Novel	202	1.2432556985515677e-58	0.0265977977150814
SRR618770,618771,618772,618773_alt	193476	ENSG00000163597.15	ENST00000586846.2	SNHG16	lncRNA	33	144	Novel	202	1.2432556985515677e-58	0.0440081131572278
SRR618770,618771,618772,618773_alt	156684	ENSG00000269893.8	ENST00000654083.1	SNHG8	lncRNA	111	270	Novel	96	1.3450937492864733e-52	3.337810887133922e-07
SRR618770,618771,618772,618773_alt	369716	ENSG00000257379.1	ENST00000547717.1	AC023509.1	lncRNA	509	569	Novel	1146	8.60745019825918e-50	0.0202564045214707
SRR618770,618771,618772,618773_alt	193475	ENSG00000163597.15	ENST00000670737.1	SNHG16	lncRNA	34	97	Novel	202	1.6125901133900838e-41	0.0013564380577377
GSE58207_alt	171999	ENSG00000269893.8	ENST00000654083.1	SNHG8	lncRNA	210	270	Novel	1330	1.260749510153853e-40	0.0035293745374388
SRR618770,618771,618772,618773_alt	187542	ENSG00000175061.18	ENST00000667979.1	SNHG29	lncRNA	62	179	Novel	187	1.3641059898960034e-38	0.0016485577878851
SRR618770,618771,618772,618773_alt	187537	ENSG00000175061.18	ENST00000481898.5	SNHG29	lncRNA	68	188	Novel	187	1.3641059898960034e-38	0.0025558233805116
SRR618770,618771,618772,618773_alt	187538	ENSG00000175061.18	ENST00000484836.2	SNHG29	lncRNA	18	138	Novel	187	1.3641059898960034e-38	0.0103427659098264
SRR618770,618771,618772,618773_alt	187541	ENSG00000175061.18	ENST00000477249.7	SNHG29	lncRNA	18	147	Novel	187	1.3641059898960034e-38	0.0184998130502205
SRR618770,618771,618772,618773_alt	187539	ENSG00000175061.18	ENST00000480811.6	SNHG29	lncRNA	18	168	Novel	187	1.3641059898960034e-38	0.0271360178429527
SRR618770,618771,618772,618773_alt	301248	ENSG00000232956.9	ENST00000653305.1	SNHG15	lncRNA	103	163	Novel	277	6.0650412863952804e-37	0.0326983006838132
SRR618770,618771,618772,618773_alt	291732	ENSG00000251022.6	ENST00000504792.6	THAP9-AS1	lncRNA	25	232	Novel	88	3.1639048343001746e-36	2.4601957793301084e-07
GSE58207_alt	188359	ENSG00000260032.2	ENST00000565493.2	NORAD	lncRNA	1017	1206	Novel	709	2.0781778473557217e-35	0.0008489820690249
SRR618770,618771,618772,618773_alt	153413	ENSG00000182165.18	ENST00000661943.1	TP53TG1	lncRNA	112	154	Novel	45	1.0812027539396732e-34	0.0029871598694933
SRR618770,618771,618772,618773_alt	177435	ENSG00000245937.8	ENST00000668567.1	LINC01184	lncRNA	109	364	Novel	44	5.575891545019115e-34	2.423195040652769e-05
SRR618770,618771,618772,618773_alt	177434	ENSG00000245937.8	ENST00000501702.7	LINC01184	lncRNA	72	204	Novel	44	5.575891545019115e-34	0.0026504822355723
SRR618770,618771,618772,618773_alt	151759	ENSG00000244300.3	ENST00000669945.1	GATA2-AS1	lncRNA	28	76	Novel	82	6.742113394119034e-34	0.001417772915652
SRR618770,618771,618772,618773_alt	210061	ENSG00000203875.12	ENST00000670094.1	SNHG5	lncRNA	275	314	Novel	56	1.4080091312813655e-31	6.775426918895605e-05
SRR618770,618771,618772,618773_alt	210413	ENSG00000197989.14	ENST00000648327.1	SNHG12	lncRNA	1390	1540	Novel	103	6.449741795612806e-31	0.0002719868785083
SRR618770,618771,618772,618773_alt	207912	ENSG00000215374.6	ENST00000663272.1	FAM66B	lncRNA	44	77	Novel	39	2.048720555584837e-30	0.0371245828698548
SRR618770,618771,618772,618773_alt	281042	ENSG00000251381.8	ENST00000653981.1	LINC00958	lncRNA	63	99	Novel	53	5.365314903200064e-30	0.0003000445612921
SRR618770,618771,618772,618773_alt	169898	ENSG00000253738.2	ENST00000522817.2	OTUD6B-AS1	lncRNA	270	324	Novel	51	6.0831385921156e-29	0.0002022685338841
GSE58207_alt	209619	ENSG00000234741.8	ENST00000650796.1	GAS5	lncRNA	34	154	Novel	3423	6.823537473899926e-29	0.0340820660706997
SRR618770,618771,618772,618773_alt	219017	ENSG00000213468.7	ENST00000649541.1	FIRRE	lncRNA	59	212	Novel	36	2.8411022899042683e-28	0.0096297569937332
SRR618770,618771,618772,618773_alt	184892	ENSG00000175611.12	ENST00000429781.1	LINC00476	lncRNA	142	175	Novel	35	1.472488534936149e-27	0.0003454021541751
SRR618770,618771,618772,618773_alt	169376	ENSG00000245910.8	ENST00000521399.5	SNHG6	lncRNA	50	122	Novel	352	3.832491425632537e-27	0.0010383542952114
